"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\api\index.js", "JavaScript", 20, 0, 0, 1, 21
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\api\path.js", "JavaScript", 2, 0, 0, 0, 2
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\TransferCard.vue", "Vue", 0, 2, 0, 0, 2
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\AddMarketingActivity.vue", "Vue", 0, 0, 1, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\HistoryOrderManagementView.vue", "Vue", 0, 10, 3, 0, 13
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\MarketingManagementVIew.vue", "Vue", 0, 63, 2, 4, 69
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\OrderManagementView.vue", "Vue", 0, -3, 3, 0, 0
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotRealTimeStateView.vue", "Vue", 0, -2, -2, 0, -4
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationContainerManagementView.vue", "Vue", 0, 10, 3, 0, 13
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationDistributionView.vue", "Vue", 0, 4, -3, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserDetailedInformationView.vue", "Vue", 0, 5, 11, -1, 15
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserManagementView.vue", "Vue", 0, -4, 4, 0, 0
"Total", "-", 22, 85, 22, 4, 133
