"filename", "language", "Vue", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\App.vue", "Vue", 39, 0, 0, 0, 0, 0, 2, 41
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\api\index.js", "JavaScript", 0, 54, 0, 0, 0, 0, 1, 55
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\api\path.js", "JavaScript", 0, 5, 0, 0, 0, 1, 0, 6
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_qz8m3eej0v\demo.css", "CSS", 0, 0, 435, 0, 0, 19, 86, 540
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_qz8m3eej0v\demo_index.html", "HTML", 0, 0, 0, 0, 4311, 2, 637, 4950
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_qz8m3eej0v\iconfont.css", "CSS", 0, 0, 634, 0, 0, 0, 210, 844
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_qz8m3eej0v\iconfont.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_qz8m3eej0v\iconfont.json", "JSON", 0, 0, 0, 1458, 0, 0, 1, 1459
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DamagedPartsDetailedStatus.vue", "Vue", 0, 0, 0, 0, 0, 1, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DamagedPartsStatus.vue", "Vue", 0, 0, 0, 0, 0, 1, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\MessageCard.vue", "Vue", 2, 0, 0, 0, 0, 1, 0, 3
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\MessageList.vue", "Vue", -4, 0, 0, 0, 0, 2, -2, -4
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\main.js", "JavaScript", 0, 1, 0, 0, 0, 2, 1, 4
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\router\index.js", "JavaScript", 0, -3, 0, 0, 0, 3, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\AboutUsView.vue", "Vue", -107, 0, 0, 0, 0, -15, -14, -136
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\AddMarketingActivity.vue", "Vue", 21, 0, 0, 0, 0, 4, 1, 26
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\DashBoardView.vue", "Vue", -2, 0, 0, 0, 0, 4, 0, 2
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\MarketingManagementVIew.vue", "Vue", 23, 0, 0, 0, 0, 1, 2, 26
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\PersonalInformationEditionView.vue", "Vue", -3, 0, 0, 0, 0, 0, 0, -3
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotMaintenanceView.vue", "Vue", -2, 0, 0, 0, 0, 0, 0, -2
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotManagementView.vue", "Vue", -3, 0, 0, 0, 0, 0, 0, -3
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\RobotPartsWarehouseView.vue", "Vue", 84, 0, 0, 0, 0, 4, 1, 89
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationContainerManagementView.vue", "Vue", 34, 0, 0, 0, 0, 8, 2, 44
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationDistributionView.vue", "Vue", -1, 0, 0, 0, 0, 1, 0, 0
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationManagementView.vue", "Vue", -3, 0, 0, 0, 0, 3, 0, 0
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserDetailedInformationView.vue", "Vue", 1, 0, 0, 0, 0, 0, -1, 0
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\UserManagementView.vue", "Vue", 2, 0, 0, 0, 0, -1, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\layout\AdminLayoutView.vue", "Vue", 34, 0, 0, 0, 0, 1, -2, 33
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\login\LoginView.vue", "Vue", 8, 0, 0, 0, 0, 0, -1, 7
"Total", "-", 123, 58, 1069, 1458, 4311, 42, 925, 7986
