"filename", "language", "Vue", "CSS", "JSON", "HTML", "JavaScript", "comment", "blank", "total"
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\App.vue", "Vue", 7, 0, 0, 0, 0, 3, 3, 13
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\demo.css", "CSS", 0, 435, 0, 0, 0, 19, 86, 540
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\demo_index.html", "HTML", 0, 0, 0, 4411, 0, 2, 652, 5065
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\iconfont.css", "CSS", 0, 649, 0, 0, 0, 0, 215, 864
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\iconfont.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\iconfont.json", "JSON", 0, 0, 1493, 0, 0, 0, 1, 1494
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_qz8m3eej0v\demo.css", "CSS", 0, -435, 0, 0, 0, -19, -86, -540
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_qz8m3eej0v\demo_index.html", "HTML", 0, 0, 0, -4311, 0, -2, -637, -4950
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_qz8m3eej0v\iconfont.css", "CSS", 0, -634, 0, 0, 0, 0, -210, -844
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_qz8m3eej0v\iconfont.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_qz8m3eej0v\iconfont.json", "JSON", 0, 0, -1458, 0, 0, 0, -1, -1459
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DamagedPartsStatus.vue", "Vue", 0, 0, 0, 0, 0, 1, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\UserDistributionFrequencyChart.vue", "Vue", 1, 0, 0, 0, 0, 0, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\HistoryOrderManagementView.vue", "Vue", 6, 0, 0, 0, 0, 14, 0, 20
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationContainerManagementView.vue", "Vue", 2, 0, 0, 0, 0, -2, 0, 0
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\functionalviews\StationManagementView.vue", "Vue", 1, 0, 0, 0, 0, -1, 0, 0
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\views\layout\AdminLayoutView.vue", "Vue", 159, 0, 0, 0, 0, 5, 7, 171
"Total", "-", 176, 15, 35, 100, 0, 20, 30, 376
