"filename", "language", "Vue", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\App.vue", "Vue", 96, 0, 0, 0, 0, 4, 12, 112
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\api\index.js", "JavaScript", 0, 509, 0, 0, 0, 20, 25, 554
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\api\path.js", "JavaScript", 0, 57, 0, 0, 0, 11, 5, 73
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\demo.css", "CSS", 0, 0, 435, 0, 0, 19, 86, 540
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\demo_index.html", "HTML", 0, 0, 0, 0, 4411, 2, 652, 5065
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\iconfont.css", "CSS", 0, 0, 649, 0, 0, 0, 215, 864
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\iconfont.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\font_4718529_bl47ur4vedd\iconfont.json", "JSON", 0, 0, 0, 1493, 0, 0, 1, 1494
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\font\font.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 8
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\icons\icons.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 2
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\BreadCrumbs.vue", "Vue", 41, 0, 0, 0, 0, 0, 4, 45
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\ContainerProgress.vue", "Vue", 35, 0, 0, 0, 0, 1, 3, 39
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DamagedPartsDetailedStatus.vue", "Vue", 92, 0, 0, 0, 0, 2, 4, 98
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DamagedPartsStatus.vue", "Vue", 101, 0, 0, 0, 0, 3, 5, 109
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DashBoardTransferAsideCard.vue", "Vue", 104, 0, 0, 0, 0, 0, 11, 115
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DashBoardTransferHeaderCard.vue", "Vue", 89, 0, 0, 0, 0, 0, 9, 98
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\FinanceRevenueChart.vue", "Vue", 107, 0, 0, 0, 0, 2, 5, 114
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\FinanceStatisticsCard.vue", "Vue", 88, 0, 0, 0, 0, 0, 9, 97
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\HelloWorld.vue", "Vue", 28, 0, 0, 0, 0, 1, 4, 33
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\LastMonthProfitChart.vue", "Vue", 146, 0, 0, 0, 0, 6, 6, 158
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\MessageCard.vue", "Vue", 149, 0, 0, 0, 0, 7, 10, 166
