Date : 2024-12-09 10:27:58
Directory : e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src
Total : 79 files,  17679 codes, 445 comments, 1438 blanks, all 19562 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         64 |      9,531 |        366 |        428 |     10,325 |
| HTML       |          1 |      4,411 |          2 |        652 |      5,065 |
| JSON       |          1 |      1,493 |          0 |          1 |      1,494 |
| CSS        |          6 |      1,406 |         27 |        309 |      1,742 |
| JavaScript |          7 |        838 |         50 |         48 |        936 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |         79 |     17,679 |        445 |      1,438 |     19,562 |
| . (Files)                                                                                                                         |          2 |        131 |         15 |         20 |        166 |
| api                                                                                                                               |          2 |        566 |         31 |         30 |        627 |
| assets                                                                                                                            |          7 |      6,998 |         21 |        955 |      7,974 |
| assets\aliconfont                                                                                                                 |          5 |      6,989 |         21 |        954 |      7,964 |
| assets\aliconfont\font_4718529_bl47ur4vedd                                                                                        |          5 |      6,989 |         21 |        954 |      7,964 |
| assets\font                                                                                                                       |          1 |          8 |          0 |          0 |          8 |
| assets\icons                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| components                                                                                                                        |         37 |      2,692 |         38 |        188 |      2,918 |
| components (Files)                                                                                                                |         24 |      2,080 |         36 |        138 |      2,254 |
| components\common                                                                                                                 |          3 |        146 |          1 |          4 |        151 |
| components\filter                                                                                                                 |          1 |         83 |          0 |          0 |         83 |
| components\form                                                                                                                   |          6 |         79 |          1 |         14 |         94 |
| components\interest                                                                                                               |          3 |        304 |          0 |         32 |        336 |
| router                                                                                                                            |          1 |        184 |          5 |          4 |        193 |
| store                                                                                                                             |          1 |         13 |          0 |          2 |         15 |
| styles                                                                                                                            |          2 |        313 |          8 |          7 |        328 |
| utils                                                                                                                             |          1 |         39 |          3 |          4 |         46 |
| views                                                                                                                             |         26 |      6,743 |        324 |        228 |      7,295 |
| views (Files)                                                                                                                     |          2 |        164 |          2 |          6 |        172 |
| views\functionalviews                                                                                                             |         22 |      5,993 |        298 |        201 |      6,492 |
| views\layout                                                                                                                      |          1 |        393 |         14 |         14 |        421 |
| views\login                                                                                                                       |          1 |        193 |         10 |          7 |        210 |
