"filename", "language", "JavaScript", "Vue", "CSS", "JSON", "HTML", "comment", "blank", "total"
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\App.vue", "Vue", 0, 96, 0, 0, 0, 4, 12, 112
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\api\index.js", "JavaScript", 564, 0, 0, 0, 0, 27, 26, 617
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\api\path.js", "JavaScript", 63, 0, 0, 0, 0, 15, 6, 84
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\confirm\demo.css", "CSS", 0, 0, 435, 0, 0, 19, 86, 540
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\confirm\demo_index.html", "HTML", 0, 0, 0, 0, 4431, 2, 655, 5088
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\confirm\iconfont.css", "CSS", 0, 0, 652, 0, 0, 0, 216, 868
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\confirm\iconfont.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\aliconfont\confirm\iconfont.json", "JSON", 0, 0, 0, 1500, 0, 0, 1, 1501
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\font\font.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 8
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\assets\icons\icons.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 2
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\BreadCrumbs.vue", "Vue", 0, 41, 0, 0, 0, 0, 4, 45
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\ContainerProgress.vue", "Vue", 0, 35, 0, 0, 0, 1, 3, 39
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DamagedPartsDetailedStatus.vue", "Vue", 0, 90, 0, 0, 0, 2, 4, 96
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DamagedPartsStatus.vue", "Vue", 0, 99, 0, 0, 0, 2, 5, 106
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DashBoardTransferAsideCard.vue", "Vue", 0, 104, 0, 0, 0, 0, 11, 115
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\DashBoardTransferHeaderCard.vue", "Vue", 0, 89, 0, 0, 0, 0, 9, 98
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\FinanceRevenueChart.vue", "Vue", 0, 106, 0, 0, 0, 2, 5, 113
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\FinanceStatisticsCard.vue", "Vue", 0, 110, 0, 0, 0, 0, 9, 119
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\HelloWorld.vue", "Vue", 0, 28, 0, 0, 0, 1, 4, 33
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\LastMonthProfitChart.vue", "Vue", 0, 112, 0, 0, 0, 6, 6, 124
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\MessageCard.vue", "Vue", 0, 176, 0, 0, 0, 7, 10, 193
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\MessageList.vue", "Vue", 0, 102, 0, 0, 0, 1, 3, 106
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\PartStatusProgress.vue", "Vue", 0, 28, 0, 0, 0, 0, 2, 30
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\ReturnIcon.vue", "Vue", 0, 45, 0, 0, 0, 0, 1, 46
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\StationRobotDashboardProgress.vue", "Vue", 0, 34, 0, 0, 0, 2, 5, 41
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\StatisticsHeaderCard.vue", "Vue", 0, 89, 0, 0, 0, 0, 9, 98
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\SystemMessage.vue", "Vue", 0, 20, 0, 0, 0, 0, 3, 23
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\SystemMessageList.vue", "Vue", 0, 20, 0, 0, 0, 0, 3, 23
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\ThisWeekOrderCircle.vue", "Vue", 0, 132, 0, 0, 0, 3, 6, 141
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\TransferCard.vue", "Vue", 0, 127, 0, 0, 0, 0, 17, 144
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\UserDistributionFrequencyChart.vue", "Vue", 0, 136, 0, 0, 0, 1, 5, 142
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\WeekFinanceChart.vue", "Vue", 0, 121, 0, 0, 0, 2, 5, 128
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\YearUserGrowthChart.vue", "Vue", 0, 116, 0, 0, 0, 2, 4, 122
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\YearUserLossChart.vue", "Vue", 0, 84, 0, 0, 0, 1, 4, 89
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\common\MyFooter.vue", "Vue", 0, 23, 0, 0, 0, 0, 2, 25
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\common\MyHeader.vue", "Vue", 0, 35, 0, 0, 0, 0, 1, 36
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\common\MyMenu.vue", "Vue", 0, 88, 0, 0, 0, 1, 1, 90
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\filter\FormFilter.vue", "Vue", 0, 83, 0, 0, 0, 0, 0, 83
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\ContainerForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\OrderForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\RevenueForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\RobotForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\StationForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\form\UserForm.vue", "Vue", 0, 79, 0, 0, 0, 1, 9, 89
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\interest\SpinButton.vue", "Vue", 0, 74, 0, 0, 0, 0, 4, 78
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\interest\SpinIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\components\interest\SpinPicture.vue", "Vue", 0, 230, 0, 0, 0, 0, 27, 257
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\main.js", "JavaScript", 53, 0, 0, 0, 0, 11, 10, 74
"e:\software_program\GroupProgram\frontproject\cloud-walker-manager\src\router\index.js", "JavaScript", 184, 0, 0, 0, 0, 5, 4, 193
